Date;U_WMT;U_JNJ;U_JPM;U_PG;U_DIS;U_KO;U_BAC;AT_CMCSA;U_PFE;U_MRK;U_ABT;AT_PEP;AT_INTC;U_XOM;U_CVX;U_TMO;U_MCD;U_DHR;U_MDT;U_NEE;AT_TXN;U_BMY;U_LLY;U_UNP;U_BA;U_IBM;U_RTX;U_WFC;AT_AMD;U_LOW;U_MMM;U_CAT;U_GE;U_AXP;U_CVS;U_SPGI;U_TGT;U_PH;U_MO;AT_AMAT;U_DE;AT_ADP;U_CL;U_SHW;U_SO;U_TJX;U_APD;U_BDX;U_DUK;U_TFC;U_ECL;U_ITW;U_MMC;U_PNC;AT_ADI;U_COP;U_F;U_HUM;U_NEM;U_PGR;U_ETN;U_NOC;AT_AEP;U_EMR;U_GD;U_KMB;U_BAX;AT_EXC;U_LHX;U_SRE;U_BLL;U_BK;U_ES;U_LUV;U_SYY;AT_WBA;AT_XEL;U_AIG;U_CMI;U_GIS;U_PPG;U_TT;U_VFC;U_AFL;U_ADM;U_DTE;U_ROK;U_SLB;U_TRV;U_WEC;U_AME;U_CLX;U_ED;U_GLW;U_HPQ;U_KR;U_MSI;AT_PCAR;U_PEG;U_SWK;U_BFB;U_EIX;U_FRT;U_HRL;U_K;U_PPL;AT_VTRS;U_WMB;U_GWW;U_ETR;U_EFX;U_HAL;U_HSY;U_LEN;U_MKC;AT_NTRS;AT_SWKS;U_STT;U_CMS;U_IP;U_IFF;U_MTB;U_NUE
01.01.1990;9225.17;395.34;454.71;462.92;488.56;636.89;528.46;7503.43;546.37;798.11;2285.19;1115.2;2593.9;1421.98;916.46;596.31;543.83;137.66;531.36;714.04;153.75;1154;592.35;820.23;4220.89;217.97;1033.08;498.13;914.52;221.81;343.77;207.77;675.09;373.72;987.68;1350.71;1636.4;481.97;1962.34;986.54;506.11;537.6;428.48;949.84;826.51;852.22;823.14;393.25;1029.09;559.98;229.92;788.89;1355.57;1273.8;1352.06;746.53;799.6;5361.15;756.29;2211.89;681.06;1341.41;610.53;452.26;1059.68;1604.19;228.78;742.01;473.36;1082.01;1257.27;903.08;841.65;9435.1;2141.75;3375.97;1000.58;779.97;169.24;913.58;1162.97;411.78;1668.7;3792.51;2514.73;801.51;1365.05;557.25;461.22;1439.93;347.6;398.8;1915.95;261.7;473.28;1267.37;366.05;902.51;972.14;740.29;1638.65;1261.79;2802.14;2615.12;1832.3;843.72;10714.45;291.16;468.98;342.15;2112.62;296.77;1977.27;370.02;473.44;1098.43;299.08;3097.78;496.33;569.12;251.71;1024.3;3424.16
01.02.1990;8659.84;355.39;395.73;428.68;444.3;566.81;472.75;6439.51;542.44;741.47;2203.96;1015;2932.24;1336.67;901.24;579.27;522.16;132.02;519.55;662.51;141.43;1099.91;543.71;790.8;4354.18;226.37;956.91;455.57;841.94;206.75;336.22;200.3;646.31;321.48;984.45;1341.79;1559.24;524.92;1791.45;925.96;545.2;528;373.87;901.48;785.3;789.86;799.56;364.65;985.54;543.39;205.71;732.23;1327.44;1193.47;1040.05;765.67;797.48;4721.47;835.9;2025.17;634.76;1370.16;571.21;439.21;952.88;1435.04;213.91;697.89;403.7;1031.06;1163.79;827.3;804.25;8255.71;1941.92;2996.85;934.51;696.13;162.57;868.04;1148.34;404.61;1655.61;3318.45;2150.6;793.61;1278.84;531.73;440.75;1340.49;321.85;376.88;1792.61;263.98;444.48;1084.78;350.38;799.59;901.52;661.99;1392.62;1201.71;2690.69;2363.02;1740.85;819.12;8781.43;250.64;452.62;321.91;1947.57;291.57;1763.7;345.05;372.32;1089.53;265.85;2762.35;448.99;501.13;219.66;1002.88;2898.46
01.03.1990;9173.77;361.44;388.12;420.39;472.14;583.3;513.95;6159.53;474.78;711.86;2178.63;1006.29;3054.42;1339.24;927.61;615.78;497.76;136.53;491.14;661.65;152.68;1079.3;534.21;818.41;4643.04;243.77;991.75;430.42;1016.13;197.31;350.73;217.89;649.91;310.76;1006.76;1296.34;1628.82;558.27;1697.16;925.96;575.03;545.83;378.97;906.73;752.73;865.23;782.41;373.39;1023.16;585.19;194.62;844.71;1353.72;1240.19;1126.72;761.94;855.77;4599.63;844.26;2068.26;615.16;1269.32;575.51;463.42;899.45;1385.93;227.64;592.96;421.45;1025.06;1137.51;858.57;807.28;8992.83;1840.16;2992.98;925.07;730.98;161.17;825.11;1177.85;457.53;1596.72;3202.7;2300.33;809.41;1232.44;555.1;471.95;1323.37;308.98;369.7;1747.97;282.24;420.69;1117.01;380.16;913.64;918.8;678.6;1399.58;1229.75;2531.48;2392.19;1645.19;819.12;9665.09;244.01;518.43;308.95;2062.32;321.16;1671.15;361.71;390.7;1122.88;232.62;2841.28;439.19;516.74;210.84;999.77;3239.46
01.04.1990;9702.06;375.67;359.14;448.58;485.24;630.07;440.52;5892.15;467.85;729.45;2208.18;1100.43;3129.6;1332.04;915.66;603.61;499.73;139.92;499.25;639.18;157.19;1108.25;563.58;777.97;5098.41;248.16;1080.59;424.83;1088.71;246.4;355.09;216.99;674.96;281.08;1054.17;1272.28;1774.26;560.67;1879.34;990.87;596.64;590.08;401.06;965.79;752.73;872.21;884.43;382.29;1020.84;595.64;190.86;875.59;1246.39;1232.44;1109.38;788.08;883.75;4768.48;734.48;1995.97;670.95;1152.15;570.8;464.88;878.67;1417.29;221.04;588.85;477.28;1035.5;1189.43;773.29;792.95;9301.29;1984.32;3047.4;912.48;696.05;155.26;934.81;1251.69;446.2;1616.68;3017.42;2450.05;799.43;1290.44;596.48;470.9;1289.15;339.01;378.07;1747.97;281.35;464.37;1095.53;415.09;940.2;889.16;681.35;1229.27;1218.28;2703.43;2353.29;1665.67;833.82;8781.43;241.15;540.33;308.95;2245.27;315.92;1740.49;371.23;397.42;1087.21;265.85;2962.3;419.6;515.47;231.52;1029.11;3665.38
01.05.1990;10345.43;383.2;370.85;478.11;483.67;636.28;447.72;5667.69;450;759.25;2298.37;1150.75;2979.23;1299.64;904.72;623.08;483.93;163.62;517.93;606.72;145.35;1170.69;582.08;732.12;5160.91;253.14;1068.59;412.7;1016.13;263.49;345.28;222.15;678.91;287.84;1045.27;1269.27;1751.63;543.83;2033.97;943.27;619.43;561.19;384.55;993.58;713.93;704.75;897.37;383.09;978.98;526.36;175.63;897.64;1203.9;1092.91;953.37;762.05;841.43;4845.14;682.59;2075.23;661.9;1210.74;549.57;451.72;836.75;1439.35;192.26;510.61;439.46;986.77;1198.87;708.29;764.29;9596.57;2038.67;3092.75;859.5;674.36;156.1;949.69;1332.92;440.01;1590.28;2964.48;2588.92;795.41;1442.68;579.36;447.26;1252.19;339.01;365.85;1597.43;285.94;440.52;1020.34;432.39;836.62;846.82;633.53;1140.47;1189.76;2638.67;2382.46;1692.97;808.78;9499.41;226.86;515.07;284.76;2411.58;301.96;1782.1;331.92;388.18;1100.63;265.85;2783.97;381.72;504.05;220.74;1013.46;3644.02
01.06.1990;12018.21;432.45;437.21;553.21;561.82;750.27;463.58;6410.66;520.53;875.39;2583.01;1312.64;3571.32;1393.28;959.97;662.02;562.34;191.83;628.84;643.61;178.72;1277.35;675.28;784.71;6082.91;283.17;1147.08;517.29;1219.36;367.75;365.94;242.55;737.96;321.62;1126.76;1327.33;1961.01;613.53;2057.76;1272.12;615.28;634.09;446.22;1068.29;732.43;816.78;970.71;435.76;1042.26;536.89;203.05;975.5;1389.46;1120.86;1126.72;799.78;888.84;5596.45;724.97;2349.04;731.9;1410.09;563.4;487.63;836.75;1546.88;215.29;553.36;511.38;1053.77;1147.96;852.84;766.99;10236.34;2361.45;3453.02;917.01;775.28;173.23;1050.59;1494.32;486.82;1570.49;3219.92;2956.82;859.69;1599.99;665.57;463.02;1333.35;365.09;409.32;1601.1;298.17;479.43;1278.11;515.72;887.15;898.31;664.61;1374.17;1259.03;2719.61;2733.97;1818.97;853.85;9996.47;245.65;542.57;307.26;2710.59;341.3;1952.6;324.76;425.15;1131.95;254.77;3170.35;385;537.67;248.86;1035.77;4092.41
01.07.1990;12882.38;468.63;398.18;589.09;563.46;743.24;431.61;6129.49;516.53;906.65;2786.93;1368.34;3571.32;1393.28;973.79;598.74;564.32;181.67;681.75;620.72;170.89;1332.63;732.19;759.62;6365.2;280.8;1113.2;480.55;1132.26;375.34;383.52;192.23;748.58;340.36;1174.52;1391.11;1918.81;577.15;2259.55;1350;607.11;615.39;469.34;1117.17;747.23;739.33;976.94;453.5;1056.41;526.36;217.57;953.38;1365.16;947.81;1040.05;784.69;841.43;6096.36;700.94;2558.25;765.37;1449.81;570.62;484.69;765.03;1625.92;222.55;553.36;495.06;1085.98;1214.64;742.98;762.11;10545.73;2361.45;3598.8;923.4;723.3;177.5;1146.68;1438.42;476.46;1383.97;3432.81;2834.18;853.57;1614.6;655.53;459.87;1344.94;339.77;404.49;1609.62;264.2;480.48;1385.52;535.02;913.87;898.31;667.37;1355.55;1243.73;2683.72;2851.14;1794.9;868.95;10682.77;230.23;546.23;299.72;2593.46;332.52;2106.02;334.31;468.93;1080.16;288;3193.61;411.21;526.15;265.91;990.56;4035.35
01.08.1990;12573.2;474.52;343.52;573.59;509.36;755.73;405.45;5904.55;600.62;936.61;2937.49;1355.16;3195.39;1520.93;1098.36;554.93;493.04;197.47;654.85;633.44;136.82;1364.11;740.95;820.77;6001.86;264.5;1132.56;440.97;798.39;228.11;400.01;179.63;764.51;311.77;1179.09;1354.66;1766.21;511.68;2295.51;1176.92;610.24;582.28;487.79;1089.24;774.16;830.87;955.23;456.71;1113;494;217.57;920.2;1312.24;810.16;953.37;875.36;793.9;6050.06;799.07;2897.9;749.31;1132.04;582.66;474.38;644.53;1726.15;241.09;557.55;440.66;1089.07;1286.09;580.07;796.3;11038.52;2322.26;3626.13;935.24;698.75;170.67;1203.22;1583.76;431.92;1310.77;3539.25;2741.5;967.92;1556.16;763.11;485.75;1394.33;296.88;432.18;1694.78;266.51;426.4;1364.04;506.65;863.1;902.63;689.05;1315.54;1285.18;2634.33;2665.65;1894.62;868.95;8745.48;221.56;491.24;294.06;2459.61;390.43;2126.94;321.17;468.93;1017.15;243.7;2964.79;417.45;582.48;274.41;917.84;4541.55
01.09.1990;11762.9;443.91;337.67;516.56;448.09;703.68;383.36;4849.77;573.56;856.53;2732.55;1320.02;2509.32;1475.33;1058.26;494.08;442.89;155.72;647.71;566.53;120.05;1277.54;661.23;783.58;5219.11;244.21;954.82;406;624.19;183.44;349.25;156.83;658.33;262.76;947.23;1204.4;1481.76;457.8;2163.65;943.27;473.59;556.06;451.6;926.91;709.96;787.89;785.89;423.18;1061.9;456.82;179.78;834.69;1252.09;779.65;918.71;863.94;673.25;5679.65;704.91;2861.77;628.01;1355.6;521.32;407.27;599.35;1663.34;219.07;517.06;351.87;1024.1;1149.3;553.57;735.45;9830.7;2177.65;3339.47;776.12;638.41;131.42;1122.58;1379.34;360.99;1051.28;3048.81;2635.06;886.24;1407.19;737.87;445.93;1311.97;273.79;365.22;1511.34;244.24;350.93;1235.15;453.07;667.26;820.57;566.18;1234.35;1173.25;2337.97;2332.44;1746.21;817.99;7583.11;196.52;464.99;280.89;2224.45;373.75;2142.68;268.44;371.43;895.63;232.62;2556.88;384.58;492;248.91;853.78;3835.72
01.10.1990;11969.27;445.6;242.03;516.56;421.28;696.55;255.58;4567.8;593.76;842.1;2835.02;1303.4;2556.31;1464.26;1026.88;447.84;428.98;145.56;648.73;600.31;119.78;1286.04;657.93;735.64;4786.44;261.29;864.47;345.96;624.19;155.87;352.58;155.92;602.36;246.21;873.72;1087.64;1370.79;467.59;2311.45;839.42;393.18;556.61;432.64;962.02;743.94;731.1;820.65;431.23;1090.6;382.45;153.33;799.18;1136.24;755.53;901.37;787.83;603.27;5625.47;640.65;2803.03;543.56;1325.25;536.07;399.84;554.18;1590.29;233.4;521.34;276.73;1028.48;1067.55;424.01;755.47;8365.25;2228.69;3467.56;824.29;621.86;126.3;1101.61;1379.34;340.12;788.4;2995.33;2849.87;933.99;1473.5;680.22;416.88;1347.27;254.76;351.83;1493.97;245.61;318.01;1095.53;418.12;661.88;847.75;596.33;1139.4;1228.3;2000.13;2332.44;1808.58;833.52;7937.05;202.3;431.84;296.18;2342.41;349.07;2135.63;254.06;396.85;789.13;221.54;2421.06;359.92;468.76;256.17;798.44;3358.22
